Topic,Count,Name
-1,4071,-1_messi_the_and_world
0,553,0_qatar_hosting_qatar2022_best
1,155,1_aires_buenos_celebrate_fans
2,147,2_congratulations_argentina_congrats_winning
3,132,3_2026_mexico_canada_usa
4,120,4_he_him_hes_his
5,115,5_congratulations_argentina_messi_winning
6,93,6_congratulations_played_mbappe_france
7,90,7_france_french_players_fightback
8,87,8_twitter_tweets_tweet_tweeting
9,87,9_2022_champion_argentina_fifa
10,86,10_jared_kushner_elon_musk
11,83,11_nfl_weekend_comeback_vikings
12,81,12_won_argentina_spain_lose
13,81,13_mbappe_he_mbapp_kylian
14,74,14_best_ever_greatest_history
15,74,15_best_final_ever_greatest
16,71,16_cuuuuuuuuuupworld_cupppp_halal_worldd
17,69,17_42_33_penalties_defending
18,63,18_martinez_save_lisandro_emi
19,63,19_2022_fifa_kick_bundesliga
20,62,20_ronaldo_has_he_portugal
21,62,21_womens_superg_2023_women
22,60,22_watch_watched_single_didnt
23,60,23_won_really_messi_shit
24,59,24_sleep_up_work_fell
25,56,25_was_final_that_game
26,54,26_goat_ronaldo_is_messi
27,50,27_song_dreamers_baby_soundtrack
28,50,28_do_now_supposed_am
29,50,29_dream_dreaming_dreams_true
30,49,30_morning_knowing_woke_good
31,47,31_prize_million_money_42
32,46,32_over_believe_cant_huh
33,46,33_goat_goats_two_jersey
34,46,34_worldcup_misses_hits_fifaworldcup
35,44,35_2022_congratulations_winning_fifa
36,42,36_kylian_goals_scorer_mens
37,41,37_played_argentina_best_what
38,41,38_robe_wear_traditional_bisht
39,40,39_trophy_ugly_looks_chocolate
40,40,40_hat_trick_hattrick_score
41,40,41_retire_lands_not_going
42,39,42_deepika_padukone_deepikapadukone_trophy
43,39,43_2022_lionel_fifa_zidane
44,38,44_chelsea_league_back_club
45,38,45_pele_never_deserved_maradona
46,37,46_goat_congrats_amazing_lionel
47,37,47_rigged_ppl_claiming_fair
48,35,48_tickets_next_going_be
49,35,49_police_riots_paris_french
50,35,50_she_her_removed_shes
51,34,51_jungkook_oikawa_korea_kim
52,33,52_macron_emmanuel_consoles_president
53,33,53_miss_missed_gonna_watch
54,33,54_gets_messi_deserves_messigoat
55,32,55_ballon_uefa_league_copa
56,32,56_cantor_call_andres_andrs
57,31,57_won_cupmbappe_messi_18dec22
58,31,58_qatar2022_congratulations_argentina_argentinacampeon
59,30,59_di_maria_angel_mara
60,30,60_golden_glove_boot_ball
61,29,61_penalty_kicks_shootout_shootouts
62,29,62_argentinavsfrance_worldcupfinal_worldcup_fifaworldcup
63,29,63_lionel_france_title_glory
64,29,64_beats_penalties_france_beat
65,29,65_winner_who_won_boy
66,29,66_malabar_messi_kerala_need
67,29,67_scaloni_manager_2026_spot
68,29,68_hat_trick_hattrick_scoring
69,28,69_picture_photos_image_atg
70,28,70_us_americans_american_would
71,27,71_gesture_vulgar_glove_goalie
72,27,72_perfect_ending_ringer_rewrote
73,27,73_years_wait_every_gotta
74,26,74_erupt_argentines_joy_epic
75,25,75_yene_2nd_messi_deserve
76,25,76_youtube_happenedlionel_36_champions
77,25,77_brighton_allister_mac_medal
78,25,78_mom_tell_her_miss
79,25,79_highlights_youtube_via_vs
80,24,80_african_regragui_kenyan_africa
81,24,81_england_believe_fucking_ancestors
82,24,82_byjus_efa_byjusxmessi_education
83,24,83_morocco_fitnessmen_moroccans_croatia
84,24,84_nfts_nft_100_giveaway
85,24,85_psg_signs_ronaldinho_2001
86,24,86_celebrating_fireworks_celebrate_drawing
87,24,87_ball_golden_player_twice
88,23,88_goat_mbappe_earns_haaland
89,23,89_wife_antonela_roccuzzo_children
90,23,90_musk_elon_jaredkushner_elonmusk
91,23,91_amp_music_dad_hanukkah
92,20,92_referee_referees_marciniak_blocked
93,20,93_care_about_choose_dont
94,20,94_depression_post_postworld_mental
95,19,95_aguero_terry_john_sergio
96,19,96_t20_india_blind_indian
97,19,97_morning_good_krik_mynameisnanon
98,19,98_beat_showpiece_42_francewhat
99,19,99_mbappe_supporting_noise_acts
100,19,100_deschamps_coach_didier_cruel
101,19,101_2022_memorablegoals_ratingever_22
102,19,102_rigged_cry_ucls_was
103,19,103_happy_die_happier_can
104,19,104_vs_result_hightlights_spinbetter
105,19,105_cry_crying_grown_tears
106,19,106_drake_curse_bet_million
107,19,107_racist_black_people_are
108,18,108_debate_settled_overhyped_buildup
109,18,109_argentinavsfrance_worldcupfinal_moment_messiday
110,18,110_south_american_america_european
111,18,111_10k_bet_investing_tesla
